"Time","cadvisor","grafana","mockpt-opcua-mqtt-client","mosquitto-broker","node-exporter","physical_twin_emulator","portainer","prometheus","state-exporter","wldt-pro-deployment-management-watchtower-1"
2025-11-17 09:47:00,2.70%,0.0740%,0.00499%,0.00861%,0.707%,,0.000660%,1.12%,0.536%,0%
2025-11-17 09:47:15,2.58%,0.0751%,0.0200%,0.0131%,0.777%,0.0248%,0.000991%,1.05%,0.648%,0.129%
2025-11-17 09:47:30,2.34%,0.0668%,0.00898%,0.0113%,0.691%,0.0207%,0.00166%,0.958%,0.509%,0%
2025-11-17 09:47:45,2.44%,0.0732%,0.0189%,0.0127%,0.783%,0.0224%,0.00125%,1.00%,0.576%,0%
2025-11-17 09:48:00,2.68%,0.0683%,0.0153%,0.0125%,0.693%,0.0182%,0.00304%,0.965%,0.525%,0%
2025-11-17 09:48:15,2.61%,0.678%,0.0149%,0.0125%,0.612%,0.0205%,0.00142%,1.24%,0.646%,0.165%
2025-11-17 09:48:30,2.61%,0.864%,0.0185%,0.0125%,0.715%,0.0251%,0.00142%,1.25%,0.615%,0%
2025-11-17 09:48:45,2.53%,1.12%,0.0182%,0.0130%,0.700%,0.0232%,0.00134%,1.42%,0.493%,0.158%
2025-11-17 09:49:00,2.40%,0.0725%,0.0155%,0.0128%,0.728%,0.0235%,0.0300%,0.955%,0.681%,0%
2025-11-17 09:49:15,2.72%,0.0724%,0.0201%,0.0125%,0.751%,0.0232%,0.00107%,1.01%,0.616%,0.144%
2025-11-17 09:49:30,2.57%,0.306%,0.0175%,0.0113%,0.679%,0.0229%,0.000447%,1.16%,0.620%,0%
2025-11-17 09:49:45,2.43%,0.355%,0.0173%,0.0112%,0.701%,0.0226%,0.00132%,1.03%,0.618%,0.234%
2025-11-17 09:50:00,2.12%,0.212%,0.0173%,0.0106%,0.769%,0.0220%,0.00185%,0.951%,0.606%,0%
2025-11-17 09:50:15,2.81%,0.0755%,0.0191%,0.0117%,0.698%,0.0227%,0.00196%,1.04%,0.603%,0.146%
2025-11-17 09:50:30,2.45%,0.0728%,0.0180%,0.0120%,0.741%,0.0219%,0.00185%,0.975%,0.624%,0%
2025-11-17 09:50:45,2.35%,0.277%,0.0189%,0.0116%,0.644%,0.0230%,0.000638%,0.955%,0.550%,0.201%
2025-11-17 09:51:00,2.67%,0.0717%,0.0158%,0.0131%,0.743%,0.0221%,0.000533%,1.05%,0.599%,0%
2025-11-17 09:51:15,2.36%,0.0740%,0.0163%,0.0118%,0.718%,0.0233%,0.00159%,1.01%,0.514%,0.139%
2025-11-17 09:51:30,2.53%,0.0747%,0.0165%,0.0116%,0.729%,0.0224%,0.000595%,1.03%,0.607%,0%
2025-11-17 09:51:45,2.63%,0.0700%,0.0176%,0.0116%,0.714%,0.0232%,0.000860%,1.03%,0.667%,0.161%
2025-11-17 09:52:00,2.67%,0.209%,0.0184%,0.0121%,0.837%,0.0205%,0.00202%,1.05%,0.588%,0%
2025-11-17 09:52:15,2.86%,0.263%,0.0178%,0.0134%,0.906%,0.0249%,0.00170%,1.34%,0.664%,0.146%
2025-11-17 09:52:30,2.56%,0.0691%,0.0173%,0.0103%,0.740%,0.0213%,0.00192%,0.952%,0.549%,0%
2025-11-17 09:52:45,2.54%,0.314%,0.0198%,0.0126%,0.732%,0.0220%,0.00163%,1.18%,0.612%,0.169%
2025-11-17 09:53:00,2.35%,0.924%,0.0175%,0.0113%,0.848%,0.0220%,0.000991%,1.58%,0.521%,0%
2025-11-17 09:53:15,2.54%,0.299%,0.0173%,0.0115%,0.630%,0.0203%,0.00133%,1.04%,0.562%,0.157%
2025-11-17 09:53:30,2.74%,0.0768%,0.0164%,0.0120%,0.701%,0.0246%,0.00170%,1.01%,0.512%,0%
2025-11-17 09:53:45,2.60%,0.0745%,0.0179%,0.0118%,0.749%,0.0230%,0.00129%,1.09%,0.574%,0.144%
2025-11-17 09:54:00,2.28%,0.0669%,,0.0119%,0.672%,0.0203%,0.00170%,0.938%,0.568%,0%
2025-11-17 09:54:15,2.61%,0.0790%,,0.0115%,0.756%,0.0210%,0.00161%,1.23%,0.672%,0.162%
2025-11-17 09:54:30,2.25%,0.0641%,,0.0109%,0.667%,0.0215%,0.000551%,0.976%,0.550%,0%
2025-11-17 09:54:45,2.55%,0.272%,,0.0120%,0.779%,0.0223%,0.00167%,1.06%,0.573%,0.136%
2025-11-17 09:55:00,2.24%,0.0670%,,0.0112%,0.726%,0.0179%,0.00148%,0.960%,0.441%,0%
2025-11-17 09:55:15,2.28%,0.576%,,0.00900%,0.656%,,0.0360%,1.24%,0.460%,0.151%
2025-11-17 09:55:30,2.03%,1.36%,,0.00850%,0.604%,,0.000493%,1.49%,0.467%,0%
2025-11-17 09:55:45,2.24%,0.739%,,0.0100%,0.612%,,0.00191%,1.28%,0.534%,0.139%
