Time,cadvisor,grafana,mockpt-opcua-mqtt-client,mosquitto-broker,node-exporter,physical_twin_emulator,portainer,prometheus,state-exporter,wldt-pro-deployment-management-watchtower-1
11/17/2025 9:47,34.2 MiB,126 MiB,34.4 MiB,408 KiB,11.7 MiB,130.5 MiB,19.6 MiB,153 MiB,16.9 MiB,13.2 MiB
11/17/2025 9:47,34.0 MiB,126 MiB,34.4 MiB,408 KiB,11.7 MiB,130.5 MiB,19.6 MiB,153 MiB,16.7 MiB,13.2 MiB
11/17/2025 9:47,35.8 MiB,126 MiB,34.4 MiB,408 KiB,11.6 MiB,130.5 MiB,19.6 MiB,153 MiB,16.0 MiB,13.2 MiB
11/17/2025 9:47,34.9 MiB,126 MiB,34.4 MiB,408 KiB,11.4 MiB,130.5 MiB,19.6 MiB,153 MiB,16.5 MiB,13.2 MiB
11/17/2025 9:48,36.7 MiB,126 MiB,34.4 MiB,408 KiB,11.2 MiB,130.5 MiB,19.6 MiB,153 MiB,17.2 MiB,13.2 MiB
11/17/2025 9:48,35.2 MiB,119 MiB,34.4 MiB,408 KiB,11.5 MiB,130.5 MiB,19.6 MiB,153 MiB,16.1 MiB,13.2 MiB
11/17/2025 9:48,36.1 MiB,126 MiB,34.4 MiB,408 KiB,11.8 MiB,130.5 MiB,19.6 MiB,164 MiB,16.9 MiB,13.2 MiB
11/17/2025 9:48,35.6 MiB,127 MiB,34.4 MiB,408 KiB,11.4 MiB,130.5 MiB,19.6 MiB,169 MiB,17.1 MiB,13.2 MiB
11/17/2025 9:49,34.1 MiB,127 MiB,34.4 MiB,408 KiB,10.8 MiB,130.5 MiB,19.6 MiB,169 MiB,16.3 MiB,13.2 MiB
11/17/2025 9:49,35.9 MiB,127 MiB,34.4 MiB,408 KiB,11.2 MiB,130.5 MiB,19.6 MiB,169 MiB,16.4 MiB,13.2 MiB
11/17/2025 9:49,37.9 MiB,127 MiB,34.4 MiB,408 KiB,10.9 MiB,130.5 MiB,19.6 MiB,155 MiB,17.3 MiB,13.2 MiB
11/17/2025 9:49,37.7 MiB,127 MiB,34.4 MiB,408 KiB,11.4 MiB,130.5 MiB,19.6 MiB,155 MiB,16.4 MiB,13.2 MiB
11/17/2025 9:50,38.3 MiB,127 MiB,34.4 MiB,408 KiB,11.6 MiB,130.5 MiB,19.6 MiB,155 MiB,15.6 MiB,13.2 MiB
11/17/2025 9:50,36.9 MiB,127 MiB,34.4 MiB,408 KiB,11.1 MiB,130.5 MiB,19.6 MiB,155 MiB,16.7 MiB,13.2 MiB
11/17/2025 9:50,36.9 MiB,127 MiB,34.4 MiB,408 KiB,11.4 MiB,130.5 MiB,19.6 MiB,155 MiB,16.9 MiB,13.2 MiB
11/17/2025 9:50,34.7 MiB,120 MiB,34.4 MiB,408 KiB,11.9 MiB,130.5 MiB,19.6 MiB,155 MiB,16.1 MiB,13.2 MiB
11/17/2025 9:51,33.9 MiB,120 MiB,34.4 MiB,408 KiB,11.2 MiB,130.5 MiB,19.6 MiB,139 MiB,16.9 MiB,13.2 MiB
11/17/2025 9:51,34.8 MiB,124 MiB,34.4 MiB,408 KiB,10.7 MiB,130.5 MiB,19.4 MiB,139 MiB,15.9 MiB,13.2 MiB
11/17/2025 9:51,35.5 MiB,127 MiB,34.4 MiB,408 KiB,11.3 MiB,130.5 MiB,19.4 MiB,139 MiB,15.8 MiB,13.2 MiB
11/17/2025 9:51,35.7 MiB,127 MiB,34.4 MiB,408 KiB,10.9 MiB,130.5 MiB,19.4 MiB,139 MiB,16.9 MiB,13.2 MiB
11/17/2025 9:52,34.9 MiB,126 MiB,34.4 MiB,408 KiB,10.4 MiB,130.5 MiB,19.4 MiB,149 MiB,16.9 MiB,13.2 MiB
11/17/2025 9:52,36.9 MiB,126 MiB,34.4 MiB,408 KiB,11.4 MiB,130.5 MiB,19.4 MiB,151 MiB,16.0 MiB,13.2 MiB
11/17/2025 9:52,36.9 MiB,126 MiB,33.9 MiB,408 KiB,11.4 MiB,130.5 MiB,19.4 MiB,151 MiB,15.8 MiB,13.2 MiB
11/17/2025 9:52,32.3 MiB,120 MiB,33.9 MiB,408 KiB,10.8 MiB,130.5 MiB,19.5 MiB,151 MiB,17.7 MiB,13.2 MiB
11/17/2025 9:53,35.4 MiB,120 MiB,33.9 MiB,408 KiB,11.3 MiB,130.5 MiB,19.5 MiB,139 MiB,16.7 MiB,13.2 MiB
11/17/2025 9:53,34.6 MiB,121 MiB,33.9 MiB,408 KiB,10.6 MiB,130.5 MiB,19.5 MiB,158 MiB,18.2 MiB,13.2 MiB
11/17/2025 9:53,36.5 MiB,121 MiB,33.9 MiB,408 KiB,10.7 MiB,130.5 MiB,19.5 MiB,155 MiB,17.3 MiB,13.2 MiB
11/17/2025 9:53,35.6 MiB,121 MiB,33.9 MiB,408 KiB,10.6 MiB,130.5 MiB,19.5 MiB,159 MiB,17.0 MiB,13.2 MiB
11/17/2025 9:54,36.9 MiB,121 MiB,33.9 MiB,408 KiB,11.3 MiB,130.5 MiB,19.5 MiB,161 MiB,17.0 MiB,13.2 MiB
11/17/2025 9:54,35.7 MiB,121 MiB,33.9 MiB,408 KiB,11.5 MiB,130.5 MiB,19.5 MiB,153 MiB,17.6 MiB,13.2 MiB
11/17/2025 9:54,33.9 MiB,121 MiB,33.9 MiB,408 KiB,10.6 MiB,130.5 MiB,19.5 MiB,153 MiB,16.5 MiB,13.2 MiB
11/17/2025 9:54,34.6 MiB,121 MiB,33.9 MiB,408 KiB,12.8 MiB,130.5 MiB,19.5 MiB,153 MiB,15.6 MiB,13.2 MiB
11/17/2025 9:55,33.7 MiB,121 MiB,33.9 MiB,408 KiB,11.9 MiB,130.5 MiB,19.5 MiB,153 MiB,17.0 MiB,13.2 MiB
11/17/2025 9:55,31.4 MiB,122 MiB,33.9 MiB,408 KiB,12.1 MiB,130.5 MiB,19.1 MiB,154 MiB,17.2 MiB,13.2 MiB
11/17/2025 9:55,34.6 MiB,126 MiB,33.9 MiB,408 KiB,11.6 MiB,130.5 MiB,19.1 MiB,169 MiB,17.2 MiB,13.2 MiB
11/17/2025 9:55,33.8 MiB,126 MiB,33.9 MiB,408 KiB,11.2 MiB,130.5 MiB,19.1 MiB,157 MiB,16.8 MiB,13.2 MiB
