"Time","cadvisor","grafana","mockpt-opcua-mqtt-client","mosquitto-broker","node-exporter","physical_twin_emulator","portainer","prometheus","state-exporter","wldt-pro-deployment-management-watchtower-1"
2025-11-17 09:47:00,34.2 MiB,126 MiB,34.4 MiB,408 KiB,11.7 MiB,227 MiB,19.6 MiB,153 MiB,16.9 MiB,13.2 MiB
2025-11-17 09:47:15,34.0 MiB,126 MiB,34.4 MiB,408 KiB,11.7 MiB,270 MiB,19.6 MiB,153 MiB,16.7 MiB,13.2 MiB
2025-11-17 09:47:30,35.8 MiB,126 MiB,34.4 MiB,408 KiB,11.6 MiB,270 MiB,19.6 MiB,153 MiB,16.0 MiB,13.2 MiB
2025-11-17 09:47:45,34.9 MiB,126 MiB,68.3 MiB,408 KiB,11.4 MiB,270 MiB,19.6 MiB,153 MiB,16.5 MiB,13.2 MiB
2025-11-17 09:48:00,36.7 MiB,126 MiB,68.3 MiB,408 KiB,11.2 MiB,270 MiB,19.6 MiB,153 MiB,17.2 MiB,13.2 MiB
2025-11-17 09:48:15,35.2 MiB,119 MiB,68.3 MiB,408 KiB,11.5 MiB,156 MiB,19.6 MiB,153 MiB,16.1 MiB,13.2 MiB
2025-11-17 09:48:30,36.1 MiB,126 MiB,68.3 MiB,408 KiB,11.8 MiB,156 MiB,19.6 MiB,164 MiB,16.9 MiB,13.2 MiB
2025-11-17 09:48:45,35.6 MiB,127 MiB,68.3 MiB,408 KiB,11.4 MiB,156 MiB,19.6 MiB,169 MiB,17.1 MiB,13.2 MiB
2025-11-17 09:49:00,34.1 MiB,127 MiB,68.3 MiB,408 KiB,10.8 MiB,156 MiB,19.6 MiB,169 MiB,16.3 MiB,13.2 MiB
2025-11-17 09:49:15,35.9 MiB,127 MiB,68.3 MiB,408 KiB,11.2 MiB,156 MiB,19.6 MiB,169 MiB,16.4 MiB,13.2 MiB
2025-11-17 09:49:30,37.9 MiB,127 MiB,68.3 MiB,408 KiB,10.9 MiB,156 MiB,19.6 MiB,155 MiB,17.3 MiB,13.2 MiB
