"Time","cadvisor","grafana","mockpt-opcua-mqtt-client","mosquitto-broker","node-exporter","physical_twin_emulator","portainer","prometheus","state-exporter","wldt-pro-deployment-management-watchtower-1"
2025-11-17 09:47:00,1.77 kB/s,12.2 B/s,7.34 B/s,7.74 B/s,703 B/s,,0 B/s,91.1 kB/s,589 B/s,0 B/s
2025-11-17 09:47:15,1.70 kB/s,0 B/s,166 B/s,301 B/s,667 B/s,82.9 B/s,0 B/s,104 kB/s,652 B/s,0 B/s
2025-11-17 09:47:30,1.74 kB/s,13.8 B/s,92.3 B/s,246 B/s,705 B/s,65.4 B/s,0 B/s,105 kB/s,609 B/s,0 B/s
2025-11-17 09:47:45,1.74 kB/s,13.1 B/s,170 B/s,311 B/s,738 B/s,62.4 B/s,0 B/s,105 kB/s,624 B/s,0 B/s
2025-11-17 09:48:00,1.92 kB/s,31.5 B/s,164 B/s,278 B/s,706 B/s,62.7 B/s,0 B/s,104 kB/s,612 B/s,0 B/s
2025-11-17 09:48:15,1.83 kB/s,4.83 kB/s,156 B/s,303 B/s,611 B/s,62.4 B/s,0 B/s,106 kB/s,637 B/s,0 B/s
2025-11-17 09:48:30,1.76 kB/s,12.5 kB/s,161 B/s,299 B/s,698 B/s,74.7 B/s,0 B/s,102 kB/s,659 B/s,0 B/s
2025-11-17 09:48:45,1.62 kB/s,14.0 kB/s,169 B/s,286 B/s,702 B/s,62.4 B/s,0 B/s,112 kB/s,599 B/s,0 B/s
2025-11-17 09:49:00,1.54 kB/s,47.4 B/s,157 B/s,312 B/s,725 B/s,70.2 B/s,0 B/s,94.5 kB/s,687 B/s,0 B/s
2025-11-17 09:49:15,1.84 kB/s,25.8 B/s,166 B/s,273 B/s,667 B/s,65.7 B/s,0 B/s,101 kB/s,619 B/s,0 B/s
2025-11-17 09:49:30,1.75 kB/s,3.11 kB/s,159 B/s,305 B/s,686 B/s,72.0 B/s,0 B/s,95.2 kB/s,677 B/s,0 B/s
