"Time","cadvisor","grafana","mockpt-opcua-mqtt-client","mosquitto-broker","node-exporter","physical_twin_emulator","portainer","prometheus","state-exporter","wldt-pro-deployment-management-watchtower-1"
2025-11-17 09:47:00,82.1 kB/s,13.4 B/s,7.34 B/s,7.74 B/s,12.7 kB/s,,0 B/s,4.85 kB/s,8.72 kB/s,0 B/s
2025-11-17 09:47:15,80.8 kB/s,0 B/s,65.5 B/s,408 B/s,12.2 kB/s,181 B/s,0 B/s,5.54 kB/s,9.86 kB/s,0 B/s
2025-11-17 09:47:30,82.5 kB/s,21.0 B/s,36.5 B/s,278 B/s,12.8 kB/s,165 B/s,0 B/s,5.47 kB/s,8.41 kB/s,0 B/s
2025-11-17 09:47:45,83.0 kB/s,14.4 B/s,64.0 B/s,419 B/s,13.5 kB/s,158 B/s,0 B/s,5.40 kB/s,9.44 kB/s,0 B/s
2025-11-17 09:48:00,91.5 kB/s,32.3 B/s,64.9 B/s,377 B/s,12.9 kB/s,151 B/s,0 B/s,5.56 kB/s,9.26 kB/s,0 B/s
2025-11-17 09:48:15,87.1 kB/s,14.8 kB/s,61.5 B/s,411 B/s,11.2 kB/s,158 B/s,0 B/s,8.56 kB/s,9.63 kB/s,0 B/s
2025-11-17 09:48:30,84.5 kB/s,35.8 kB/s,63.5 B/s,405 B/s,12.7 kB/s,181 B/s,0 B/s,10.5 kB/s,9.96 kB/s,0 B/s
2025-11-17 09:48:45,77.5 kB/s,41.7 kB/s,67.0 B/s,383 B/s,12.8 kB/s,158 B/s,0 B/s,12.1 kB/s,9.06 kB/s,0 B/s
2025-11-17 09:49:00,73.6 kB/s,54.4 B/s,61.9 B/s,422 B/s,13.3 kB/s,178 B/s,0 B/s,4.97 kB/s,10.4 kB/s,0 B/s
2025-11-17 09:49:15,88.2 kB/s,31.2 B/s,65.5 B/s,370 B/s,12.2 kB/s,166 B/s,0 B/s,5.44 kB/s,9.36 kB/s,0 B/s
2025-11-17 09:49:30,83.6 kB/s,9.32 kB/s,62.7 B/s,413 B/s,12.5 kB/s,175 B/s,0 B/s,6.44 kB/s,10.2 kB/s,0 B/s
2025-11-17 09:49:45,82.7 kB/s,9.23 kB/s,64.6 B/s,422 B/s,12.9 kB/s,166 B/s,0 B/s,7.00 kB/s,10.1 kB/s,0 B/s
2025-11-17 09:50:00,73.2 kB/s,8.94 kB/s,66.6 B/s,347 B/s,13.7 kB/s,163 B/s,0 B/s,6.59 kB/s,10.1 kB/s,0 B/s
2025-11-17 09:50:15,90.1 kB/s,72.0 B/s,64.5 B/s,367 B/s,12.0 kB/s,165 B/s,0 B/s,5.51 kB/s,9.63 kB/s,0 B/s
2025-11-17 09:50:30,80.5 kB/s,119 B/s,63.8 B/s,375 B/s,12.8 kB/s,172 B/s,0 B/s,5.47 kB/s,10.1 kB/s,0 B/s
2025-11-17 09:50:45,76.5 kB/s,83.0 B/s,63.4 B/s,395 B/s,11.9 kB/s,165 B/s,0 B/s,5.52 kB/s,8.54 kB/s,0 B/s
2025-11-17 09:51:00,84.4 kB/s,100 B/s,61.8 B/s,396 B/s,13.4 kB/s,174 B/s,0 B/s,5.57 kB/s,9.07 kB/s,0 B/s
2025-11-17 09:51:15,78.5 kB/s,73.4 B/s,63.2 B/s,372 B/s,12.7 kB/s,170 B/s,0 B/s,5.49 kB/s,9.49 kB/s,0 B/s
2025-11-17 09:51:30,86.7 kB/s,89.2 B/s,61.1 B/s,385 B/s,12.8 kB/s,171 B/s,0 B/s,5.62 kB/s,9.48 kB/s,0 B/s
2025-11-17 09:51:45,86.4 kB/s,57.3 B/s,62.9 B/s,391 B/s,12.7 kB/s,170 B/s,0 B/s,5.61 kB/s,10.2 kB/s,0 B/s
2025-11-17 09:52:00,89.0 kB/s,8.57 kB/s,67.2 B/s,406 B/s,13.6 kB/s,148 B/s,0 B/s,7.12 kB/s,10.5 kB/s,0 B/s
2025-11-17 09:52:15,88.8 kB/s,12.5 kB/s,64.7 B/s,375 B/s,13.5 kB/s,158 B/s,0 B/s,8.26 kB/s,9.44 kB/s,0 B/s
2025-11-17 09:52:30,89.1 kB/s,80.8 B/s,71.2 B/s,361 B/s,12.8 kB/s,164 B/s,0 B/s,5.55 kB/s,8.90 kB/s,0 B/s
2025-11-17 09:52:45,76.1 kB/s,102 B/s,70.4 B/s,404 B/s,13.1 kB/s,169 B/s,0 B/s,5.65 kB/s,10.5 kB/s,0 B/s
2025-11-17 09:53:00,79.9 kB/s,50.2 kB/s,66.8 B/s,398 B/s,13.6 kB/s,162 B/s,0 B/s,14.2 kB/s,9.41 kB/s,0 B/s
2025-11-17 09:53:15,83.9 kB/s,8.69 kB/s,66.2 B/s,375 B/s,11.8 kB/s,161 B/s,0 B/s,7.47 kB/s,10.4 kB/s,0 B/s
2025-11-17 09:53:30,84.0 kB/s,88.3 B/s,64.0 B/s,370 B/s,12.2 kB/s,165 B/s,0 B/s,5.46 kB/s,9.55 kB/s,0 B/s
2025-11-17 09:53:45,79.4 kB/s,110 B/s,67.6 B/s,382 B/s,12.3 kB/s,170 B/s,0 B/s,5.69 kB/s,8.96 kB/s,0 B/s
2025-11-17 09:54:00,80.1 kB/s,96.7 B/s,,231 B/s,12.2 kB/s,155 B/s,0 B/s,5.47 kB/s,9.61 kB/s,0 B/s
2025-11-17 09:54:15,84.7 kB/s,98.4 B/s,,223 B/s,12.4 kB/s,143 B/s,0 B/s,5.56 kB/s,10.1 kB/s,0 B/s
2025-11-17 09:54:30,77.2 kB/s,77.9 B/s,,232 B/s,11.7 kB/s,162 B/s,0 B/s,5.59 kB/s,9.29 kB/s,0 B/s
2025-11-17 09:54:45,79.1 kB/s,81.8 B/s,,219 B/s,12.6 kB/s,155 B/s,0 B/s,5.46 kB/s,9.32 kB/s,0 B/s
2025-11-17 09:55:00,77.5 kB/s,73.8 B/s,,177 B/s,13.1 kB/s,126 B/s,0 B/s,5.51 kB/s,8.81 kB/s,0 B/s
2025-11-17 09:55:15,69.9 kB/s,22.8 kB/s,,0 B/s,12.7 kB/s,,0 B/s,10.0 kB/s,8.49 kB/s,0 B/s
2025-11-17 09:55:30,74.6 kB/s,100 kB/s,,0 B/s,11.3 kB/s,,0 B/s,27.5 kB/s,8.71 kB/s,0 B/s
2025-11-17 09:55:45,74.8 kB/s,68.8 kB/s,,7.68 B/s,10.8 kB/s,,0 B/s,19.1 kB/s,8.88 kB/s,0 B/s
