"Time","cadvisor","grafana","mockpt-opcua-mqtt-client","mosquitto-broker","node-exporter","physical_twin_emulator","portainer","prometheus","state-exporter"
2025-11-17 12:05:15,2.36%,0.0646%,3.31%,0.0114%,0.682%,12.6%,0.00138%,0.958%,0.485%
2025-11-17 12:05:30,2.18%,0.0532%,0.0957%,0.0101%,0.637%,0.157%,0.00140%,0.980%,0.500%
2025-11-17 12:05:45,2.01%,0.0635%,0.0943%,0.0101%,0.691%,0.163%,0.00138%,0.916%,0.505%
2025-11-17 12:06:00,1.99%,0.0660%,0.104%,0.0113%,0.678%,0.161%,0.00166%,0.836%,0.578%
2025-11-17 12:06:15,2.35%,0.237%,0.110%,0.0106%,0.581%,0.165%,0.0444%,0.936%,0.642%
2025-11-17 12:06:30,2.22%,0.0588%,0.113%,0.0115%,0.646%,0.159%,0.00101%,1.00%,0.661%
2025-11-17 12:06:45,2.36%,0.0668%,0.107%,0.0128%,0.644%,0.159%,0.00158%,1.12%,0.600%
2025-11-17 12:07:00,2.18%,0.0623%,0.105%,0.0101%,0.630%,0.160%,0.00136%,0.943%,0.584%
2025-11-17 12:07:15,2.41%,0.0719%,0.116%,0.0111%,0.634%,0.167%,0.00164%,1.01%,0.548%
2025-11-17 12:07:30,1.93%,0.0538%,0.116%,0.0119%,0.705%,0.168%,0.00120%,0.946%,0.514%
2025-11-17 12:07:45,2.38%,0.0689%,0.112%,0.0114%,0.761%,0.164%,0.00180%,0.975%,0.538%
2025-11-17 12:08:00,2.20%,0.331%,0.112%,0.0117%,0.622%,0.158%,0.00120%,0.945%,0.546%
2025-11-17 12:08:15,2.31%,0.223%,0.112%,0.0109%,0.725%,0.165%,0.00122%,1.02%,0.494%
2025-11-17 12:08:30,2.45%,0.336%,0.0999%,0.0113%,0.688%,0.170%,0.00180%,1.14%,0.485%
2025-11-17 12:08:45,2.08%,0.0663%,0.105%,0.0113%,0.656%,0.152%,0.00141%,0.972%,0.595%
2025-11-17 12:09:00,2.18%,0.0581%,0.102%,0.00972%,0.706%,0.159%,0.00166%,0.958%,0.528%
2025-11-17 12:09:15,2.14%,0.338%,0.108%,0.0115%,0.675%,0.162%,0.00130%,0.999%,0.547%
2025-11-17 12:09:30,2.37%,0.0599%,0.103%,0.0100%,0.641%,0.153%,0.00118%,0.896%,0.507%
2025-11-17 12:09:45,2.23%,0.0624%,0.1000%,0.0107%,0.605%,0.173%,0.00157%,0.992%,0.554%
2025-11-17 12:10:00,2.30%,0.0592%,0.112%,0.0111%,0.685%,0.160%,0.00181%,0.984%,0.588%
2025-11-17 12:10:15,2.09%,0.225%,0.108%,0.0113%,0.704%,0.164%,0.000290%,1.08%,0.527%
2025-11-17 12:10:30,2.12%,0.0583%,0.113%,0.0106%,0.648%,0.163%,0.0313%,0.914%,0.537%
2025-11-17 12:10:45,2.00%,0.0635%,0.0979%,0.00971%,0.651%,0.169%,0.00192%,0.954%,0.580%
2025-11-17 12:11:00,2.19%,0.0599%,0.0967%,0.0111%,0.635%,0.157%,0.00167%,0.894%,0.528%
2025-11-17 12:11:15,2.22%,0.0663%,0.0989%,0.0115%,0.689%,0.160%,0.00158%,1.08%,0.372%
2025-11-17 12:11:30,2.18%,0.0642%,0.107%,0.0110%,0.698%,0.161%,0.00160%,1.01%,0.639%
2025-11-17 12:11:45,2.29%,0.0722%,0.102%,0.0123%,0.674%,0.160%,0.000619%,1.02%,0.550%
2025-11-17 12:12:00,2.17%,0.0608%,0.105%,0.0112%,0.622%,0.169%,0.00226%,0.938%,0.609%
2025-11-17 12:12:15,2.02%,0.219%,0.0930%,0.0113%,0.611%,0.164%,0.00227%,1.00%,0.592%
2025-11-17 12:12:30,2.25%,0.0598%,0.104%,0.0115%,0.658%,0.141%,0.0301%,1.09%,0.514%
2025-11-17 12:12:45,2.31%,0.0610%,0.169%,0.0109%,0.675%,0.153%,0.00124%,0.980%,0.594%
2025-11-17 12:13:00,2.21%,0.0661%,,0.0114%,0.639%,0.105%,0.00181%,0.970%,0.511%
2025-11-17 12:13:15,1.97%,0.0653%,,0.00967%,0.687%,0.0699%,0.000588%,1.02%,0.563%
2025-11-17 12:13:30,2.17%,0.0622%,,0.0112%,0.668%,0.0645%,0.00101%,0.929%,0.598%
2025-11-17 12:13:45,2.07%,0.0653%,,0.0105%,0.719%,0.0658%,0.000534%,0.895%,0.376%
2025-11-17 12:14:00,2.11%,0.0609%,,0.0107%,0.628%,0.0686%,0.00102%,0.927%,0.502%
2025-11-17 12:14:15,2.29%,0.246%,,0.0115%,0.657%,0.0663%,0.00143%,0.870%,0.514%
2025-11-17 12:14:30,2.20%,0.0655%,,0.0119%,0.617%,0.0776%,0.0493%,1.01%,0.651%
2025-11-17 12:14:45,2.10%,0.0651%,,0.0101%,0.699%,0.0663%,0.00156%,0.858%,0.515%
2025-11-17 12:15:00,2.35%,0.0590%,,0.0110%,0.610%,0.0718%,0.00170%,0.993%,0.565%
