"Time","cadvisor","grafana","mockpt-opcua-mqtt-client","mosquitto-broker","node-exporter","physical_twin_emulator","portainer","prometheus","state-exporter"
2025-11-17 12:05:15,80.8 kB/s,60.7 B/s,482 B/s,127 B/s,13.2 kB/s,447 B/s,0 B/s,5.46 kB/s,8.21 kB/s
2025-11-17 12:05:30,78.8 kB/s,0 B/s,492 B/s,230 B/s,12.0 kB/s,640 B/s,0 B/s,5.57 kB/s,9.33 kB/s
2025-11-17 12:05:45,74.0 kB/s,61.0 B/s,475 B/s,383 B/s,12.5 kB/s,665 B/s,0 B/s,5.52 kB/s,9.03 kB/s
2025-11-17 12:06:00,68.3 kB/s,58.7 B/s,495 B/s,366 B/s,11.1 kB/s,692 B/s,0 B/s,4.44 kB/s,9.37 kB/s
2025-11-17 12:06:15,79.6 kB/s,54.6 B/s,520 B/s,374 B/s,10.4 kB/s,713 B/s,0 B/s,5.30 kB/s,10.3 kB/s
2025-11-17 12:06:30,75.2 kB/s,43.6 B/s,509 B/s,416 B/s,11.9 kB/s,690 B/s,0 B/s,5.52 kB/s,9.61 kB/s
2025-11-17 12:06:45,84.0 kB/s,73.6 B/s,500 B/s,395 B/s,12.3 kB/s,683 B/s,0 B/s,5.42 kB/s,9.54 kB/s
2025-11-17 12:07:00,83.0 kB/s,50.8 B/s,500 B/s,362 B/s,12.0 kB/s,709 B/s,0 B/s,5.63 kB/s,9.67 kB/s
2025-11-17 12:07:15,81.9 kB/s,61.3 B/s,513 B/s,408 B/s,12.0 kB/s,731 B/s,0 B/s,5.43 kB/s,9.87 kB/s
2025-11-17 12:07:30,70.8 kB/s,12.4 B/s,513 B/s,410 B/s,13.3 kB/s,682 B/s,0 B/s,5.53 kB/s,9.36 kB/s
2025-11-17 12:07:45,81.7 kB/s,42.6 B/s,509 B/s,381 B/s,12.6 kB/s,690 B/s,0 B/s,5.45 kB/s,9.49 kB/s
2025-11-17 12:08:00,82.2 kB/s,8.42 kB/s,506 B/s,374 B/s,11.7 kB/s,722 B/s,0 B/s,5.44 kB/s,9.86 kB/s
2025-11-17 12:08:15,74.7 kB/s,43.1 B/s,519 B/s,399 B/s,13.2 kB/s,721 B/s,0 B/s,5.46 kB/s,8.97 kB/s
2025-11-17 12:08:30,87.6 kB/s,14.7 kB/s,489 B/s,421 B/s,13.2 kB/s,705 B/s,0 B/s,8.09 kB/s,9.09 kB/s
2025-11-17 12:08:45,75.6 kB/s,62.0 B/s,489 B/s,380 B/s,11.9 kB/s,613 B/s,0 B/s,5.44 kB/s,10.0 kB/s
2025-11-17 12:09:00,75.8 kB/s,5.58 B/s,479 B/s,389 B/s,13.0 kB/s,719 B/s,0 B/s,5.41 kB/s,8.99 kB/s
2025-11-17 12:09:15,79.3 kB/s,8.40 kB/s,499 B/s,419 B/s,12.7 kB/s,721 B/s,0 B/s,7.06 kB/s,9.95 kB/s
2025-11-17 12:09:30,85.3 kB/s,59.7 B/s,509 B/s,350 B/s,12.1 kB/s,697 B/s,0 B/s,5.48 kB/s,9.03 kB/s
2025-11-17 12:09:45,78.8 kB/s,56.8 B/s,427 B/s,359 B/s,11.5 kB/s,701 B/s,0 B/s,5.40 kB/s,8.99 kB/s
2025-11-17 12:10:00,85.6 kB/s,52.5 B/s,499 B/s,394 B/s,12.0 kB/s,723 B/s,0 B/s,5.49 kB/s,10.0 kB/s
2025-11-17 12:10:15,75.3 kB/s,7.34 B/s,519 B/s,417 B/s,13.3 kB/s,712 B/s,0 B/s,5.50 kB/s,9.66 kB/s
2025-11-17 12:10:30,76.3 kB/s,63.9 B/s,505 B/s,383 B/s,11.1 kB/s,690 B/s,0 B/s,5.37 kB/s,9.43 kB/s
2025-11-17 12:10:45,70.6 kB/s,32.8 B/s,472 B/s,346 B/s,12.0 kB/s,694 B/s,0 B/s,5.46 kB/s,9.18 kB/s
2025-11-17 12:11:00,80.4 kB/s,64.4 B/s,472 B/s,395 B/s,11.9 kB/s,694 B/s,0 B/s,5.30 kB/s,8.97 kB/s
2025-11-17 12:11:15,80.2 kB/s,139 B/s,485 B/s,446 B/s,12.1 kB/s,684 B/s,0 B/s,5.42 kB/s,6.85 kB/s
2025-11-17 12:11:30,74.1 kB/s,53.8 B/s,475 B/s,397 B/s,12.7 kB/s,697 B/s,0 B/s,5.43 kB/s,9.69 kB/s
2025-11-17 12:11:45,76.9 kB/s,7.42 B/s,432 B/s,380 B/s,11.1 kB/s,668 B/s,0 B/s,5.48 kB/s,10.3 kB/s
2025-11-17 12:12:00,79.8 kB/s,11.8 B/s,497 B/s,396 B/s,11.9 kB/s,738 B/s,0 B/s,5.38 kB/s,9.54 kB/s
2025-11-17 12:12:15,69.4 kB/s,12.1 B/s,469 B/s,410 B/s,10.8 kB/s,740 B/s,0 B/s,5.56 kB/s,9.81 kB/s
2025-11-17 12:12:30,79.7 kB/s,7.06 B/s,504 B/s,404 B/s,12.5 kB/s,637 B/s,0 B/s,5.40 kB/s,8.61 kB/s
2025-11-17 12:12:45,81.7 kB/s,53.2 B/s,505 B/s,383 B/s,12.1 kB/s,669 B/s,0 B/s,5.51 kB/s,9.32 kB/s
2025-11-17 12:13:00,78.4 kB/s,49.6 B/s,,329 B/s,11.9 kB/s,374 B/s,0 B/s,5.44 kB/s,9.33 kB/s
2025-11-17 12:13:15,75.9 kB/s,51.5 B/s,,226 B/s,11.8 kB/s,180 B/s,0 B/s,5.32 kB/s,9.89 kB/s
2025-11-17 12:13:30,74.6 kB/s,64.7 B/s,,232 B/s,12.3 kB/s,157 B/s,0 B/s,5.45 kB/s,9.66 kB/s
2025-11-17 12:13:45,74.8 kB/s,60.6 B/s,,205 B/s,13.1 kB/s,168 B/s,0 B/s,5.31 kB/s,8.65 kB/s
2025-11-17 12:14:00,77.9 kB/s,0 B/s,,222 B/s,12.0 kB/s,165 B/s,0 B/s,5.47 kB/s,9.18 kB/s
2025-11-17 12:14:15,77.0 kB/s,65.1 B/s,,220 B/s,12.1 kB/s,179 B/s,0 B/s,4.88 kB/s,9.55 kB/s
2025-11-17 12:14:30,74.1 kB/s,84.7 B/s,,220 B/s,11.1 kB/s,163 B/s,0 B/s,5.27 kB/s,9.76 kB/s
2025-11-17 12:14:45,72.9 kB/s,13.1 B/s,,210 B/s,12.9 kB/s,171 B/s,0 B/s,4.93 kB/s,9.03 kB/s
2025-11-17 12:15:00,74.8 kB/s,6.80 B/s,,226 B/s,11.6 kB/s,174 B/s,0 B/s,5.43 kB/s,9.30 kB/s
