"Time","cadvisor","grafana","mockpt-opcua-mqtt-client","mosquitto-broker","node-exporter","physical_twin_emulator","portainer","prometheus","state-exporter"
2025-11-17 12:24:45,34.3 MiB,105 MiB,,404 KiB,11.4 MiB,116 MiB,17.6 MiB,119 MiB,16.2 MiB
2025-11-17 12:25:00,34.4 MiB,105 MiB,34.4 MiB,404 KiB,11.4 MiB,116 MiB,17.6 MiB,117 MiB,17.5 MiB
2025-11-17 12:25:15,36.5 MiB,105 MiB,34.5 MiB,404 KiB,11.3 MiB,116 MiB,17.6 MiB,118 MiB,15.8 MiB
2025-11-17 12:25:30,36.2 MiB,105 MiB,34.5 MiB,404 KiB,10.5 MiB,116 MiB,17.6 MiB,121 MiB,16.3 MiB
2025-11-17 12:25:45,33.8 MiB,105 MiB,34.5 MiB,404 KiB,11.6 MiB,116 MiB,17.6 MiB,121 MiB,17.3 MiB
2025-11-17 12:26:00,35.9 MiB,105 MiB,34.5 MiB,404 KiB,12.5 MiB,116 MiB,17.6 MiB,121 MiB,18.2 MiB
2025-11-17 12:26:15,34.5 MiB,105 MiB,34.5 MiB,404 KiB,11.2 MiB,116 MiB,17.6 MiB,121 MiB,17.0 MiB
2025-11-17 12:26:30,36.9 MiB,105 MiB,34.5 MiB,404 KiB,11.9 MiB,116 MiB,17.6 MiB,114 MiB,16.0 MiB
2025-11-17 12:26:45,37.1 MiB,106 MiB,34.5 MiB,404 KiB,11.7 MiB,116 MiB,17.6 MiB,114 MiB,17.1 MiB
2025-11-17 12:27:00,33.8 MiB,106 MiB,34.5 MiB,404 KiB,11.5 MiB,116 MiB,17.6 MiB,117 MiB,16.2 MiB
2025-11-17 12:27:15,32.7 MiB,106 MiB,34.5 MiB,404 KiB,10.7 MiB,116 MiB,17.6 MiB,117 MiB,16.9 MiB
2025-11-17 12:27:30,33.2 MiB,106 MiB,34.5 MiB,404 KiB,11.8 MiB,116 MiB,17.6 MiB,117 MiB,17.5 MiB
2025-11-17 12:27:45,33.9 MiB,106 MiB,34.5 MiB,404 KiB,11.4 MiB,116 MiB,17.6 MiB,117 MiB,16.9 MiB
2025-11-17 12:28:00,33.0 MiB,106 MiB,34.5 MiB,404 KiB,11.6 MiB,116 MiB,17.6 MiB,103 MiB,17.5 MiB
2025-11-17 12:28:15,32.6 MiB,106 MiB,34.5 MiB,404 KiB,11.6 MiB,116 MiB,17.6 MiB,103 MiB,16.8 MiB
2025-11-17 12:28:30,32.4 MiB,106 MiB,34.5 MiB,404 KiB,11.4 MiB,116 MiB,17.6 MiB,103 MiB,17.7 MiB
2025-11-17 12:28:45,34.6 MiB,106 MiB,34.5 MiB,404 KiB,11.1 MiB,116 MiB,17.6 MiB,103 MiB,16.0 MiB
2025-11-17 12:29:00,34.7 MiB,106 MiB,34.5 MiB,404 KiB,11.6 MiB,116 MiB,17.6 MiB,105 MiB,18.1 MiB
2025-11-17 12:29:15,34.4 MiB,100 MiB,34.5 MiB,404 KiB,11.5 MiB,116 MiB,17.6 MiB,105 MiB,16.6 MiB
2025-11-17 12:29:30,33.8 MiB,100 MiB,35.2 MiB,404 KiB,11.3 MiB,116 MiB,17.6 MiB,107 MiB,17.8 MiB
2025-11-17 12:29:45,34.0 MiB,100 MiB,35.2 MiB,404 KiB,10.7 MiB,116 MiB,17.6 MiB,107 MiB,16.6 MiB
2025-11-17 12:30:00,35 MiB,100 MiB,35.2 MiB,404 KiB,11.0 MiB,116 MiB,17.6 MiB,107 MiB,15.7 MiB
2025-11-17 12:30:15,35.7 MiB,100 MiB,35.2 MiB,404 KiB,11.4 MiB,116 MiB,17.6 MiB,106 MiB,16.2 MiB
2025-11-17 12:30:30,34.7 MiB,100 MiB,35.2 MiB,404 KiB,11.5 MiB,116 MiB,17.6 MiB,106 MiB,17.6 MiB
2025-11-17 12:30:45,33.3 MiB,100 MiB,35.2 MiB,404 KiB,11.5 MiB,116 MiB,17.6 MiB,106 MiB,17.1 MiB
2025-11-17 12:31:00,34.9 MiB,100 MiB,35.2 MiB,404 KiB,11.3 MiB,116 MiB,17.6 MiB,106 MiB,16.0 MiB
2025-11-17 12:31:15,32.6 MiB,99.8 MiB,35.2 MiB,404 KiB,11.3 MiB,116 MiB,17.6 MiB,106 MiB,17.3 MiB
2025-11-17 12:31:30,34.6 MiB,99.8 MiB,35.2 MiB,404 KiB,11.3 MiB,116 MiB,17.6 MiB,107 MiB,16.9 MiB
2025-11-17 12:31:45,34.3 MiB,99.4 MiB,35.2 MiB,404 KiB,10.7 MiB,116 MiB,17.6 MiB,112 MiB,16.1 MiB
2025-11-17 12:32:00,32.7 MiB,99.4 MiB,35.2 MiB,404 KiB,11.3 MiB,116 MiB,17.6 MiB,118 MiB,17.7 MiB
