"Time","cadvisor","grafana","mockpt-opcua-mqtt-client","mosquitto-broker","node-exporter","physical_twin_emulator","portainer","prometheus","state-exporter"
2025-11-17 12:24:45,1.74 kB/s,48.9 B/s,,1.94 kB/s,566 B/s,638 B/s,6.27 B/s,99.4 kB/s,616 B/s
2025-11-17 12:25:00,1.75 kB/s,15.3 B/s,2.92 kB/s,2.60 kB/s,593 B/s,1.09 kB/s,0 B/s,98.7 kB/s,634 B/s
2025-11-17 12:25:15,1.63 kB/s,2.48 kB/s,2.96 kB/s,2.87 kB/s,624 B/s,1.08 kB/s,0 B/s,101 kB/s,577 B/s
2025-11-17 12:25:30,1.64 kB/s,2.64 kB/s,2.88 kB/s,2.85 kB/s,625 B/s,1.00 kB/s,0 B/s,101 kB/s,671 B/s
2025-11-17 12:25:45,1.36 kB/s,49.6 B/s,2.66 kB/s,2.88 kB/s,674 B/s,1.10 kB/s,0 B/s,97.9 kB/s,659 B/s
2025-11-17 12:26:00,1.88 kB/s,77.5 B/s,2.83 kB/s,2.87 kB/s,626 B/s,1.05 kB/s,0 B/s,102 kB/s,634 B/s
2025-11-17 12:26:15,1.77 kB/s,59.3 B/s,3.06 kB/s,2.86 kB/s,636 B/s,1.10 kB/s,0 B/s,102 kB/s,577 B/s
2025-11-17 12:26:30,1.80 kB/s,75.2 B/s,2.89 kB/s,2.86 kB/s,618 B/s,1.06 kB/s,0 B/s,108 kB/s,619 B/s
2025-11-17 12:26:45,1.86 kB/s,68.0 B/s,2.86 kB/s,2.89 kB/s,612 B/s,1.09 kB/s,0 B/s,95.0 kB/s,611 B/s
2025-11-17 12:27:00,1.62 kB/s,7.85 kB/s,2.87 kB/s,2.87 kB/s,644 B/s,1.09 kB/s,0 B/s,103 kB/s,647 B/s
2025-11-17 12:27:15,1.64 kB/s,84.0 B/s,2.95 kB/s,2.87 kB/s,622 B/s,1.07 kB/s,0 B/s,105 kB/s,669 B/s
2025-11-17 12:27:30,1.65 kB/s,143 B/s,2.90 kB/s,2.84 kB/s,641 B/s,1.06 kB/s,0 B/s,104 kB/s,636 B/s
2025-11-17 12:27:45,1.58 kB/s,81.2 B/s,2.95 kB/s,2.88 kB/s,658 B/s,1.10 kB/s,0 B/s,91.3 kB/s,674 B/s
2025-11-17 12:28:00,1.64 kB/s,123 B/s,2.84 kB/s,2.86 kB/s,628 B/s,1.10 kB/s,0 B/s,106 kB/s,650 B/s
2025-11-17 12:28:15,1.73 kB/s,88.6 B/s,2.93 kB/s,2.86 kB/s,677 B/s,1.11 kB/s,0 B/s,99.8 kB/s,585 B/s
2025-11-17 12:28:30,1.76 kB/s,79.8 B/s,2.88 kB/s,2.86 kB/s,602 B/s,1.10 kB/s,0 B/s,105 kB/s,667 B/s
2025-11-17 12:28:45,1.69 kB/s,45.8 B/s,2.96 kB/s,2.87 kB/s,588 B/s,1.12 kB/s,0 B/s,97.0 kB/s,628 B/s
2025-11-17 12:29:00,1.76 kB/s,0 B/s,2.92 kB/s,2.85 kB/s,695 B/s,1.08 kB/s,0 B/s,102 kB/s,632 B/s
2025-11-17 12:29:15,1.61 kB/s,5.10 B/s,2.99 kB/s,2.86 kB/s,626 B/s,1.07 kB/s,0 B/s,98.4 kB/s,555 B/s
2025-11-17 12:29:30,1.64 kB/s,0 B/s,2.84 kB/s,2.86 kB/s,626 B/s,1.08 kB/s,0 B/s,98.1 kB/s,653 B/s
2025-11-17 12:29:45,1.81 kB/s,7.87 B/s,2.92 kB/s,2.88 kB/s,627 B/s,1.10 kB/s,0 B/s,85.1 kB/s,587 B/s
2025-11-17 12:30:00,1.77 kB/s,12.6 B/s,2.86 kB/s,2.87 kB/s,666 B/s,1.09 kB/s,0 B/s,102 kB/s,627 B/s
2025-11-17 12:30:15,1.67 kB/s,0 B/s,2.89 kB/s,2.88 kB/s,551 B/s,1.09 kB/s,0 B/s,107 kB/s,590 B/s
2025-11-17 12:30:30,1.67 kB/s,10.6 B/s,2.61 kB/s,2.86 kB/s,648 B/s,1.10 kB/s,0 B/s,98.0 kB/s,512 B/s
2025-11-17 12:30:45,1.79 kB/s,5.61 B/s,2.91 kB/s,2.88 kB/s,632 B/s,1.09 kB/s,0 B/s,98.3 kB/s,633 B/s
2025-11-17 12:31:00,1.91 kB/s,16.3 B/s,2.93 kB/s,2.86 kB/s,600 B/s,971 B/s,0 B/s,94.9 kB/s,645 B/s
2025-11-17 12:31:15,1.64 kB/s,11.7 B/s,2.86 kB/s,2.61 kB/s,574 B/s,956 B/s,0 B/s,98.1 kB/s,604 B/s
2025-11-17 12:31:30,1.60 kB/s,7.26 B/s,2.86 kB/s,2.87 kB/s,643 B/s,1.08 kB/s,0 B/s,98.2 kB/s,663 B/s
2025-11-17 12:31:45,1.83 kB/s,56.7 B/s,2.96 kB/s,2.87 kB/s,644 B/s,1.11 kB/s,0 B/s,104 kB/s,597 B/s
2025-11-17 12:32:00,1.71 kB/s,44.9 B/s,,2.26 kB/s,688 B/s,716 B/s,0 B/s,96.3 kB/s,608 B/s
