Time,cadvisor,grafana,mockpt-opcua-mqtt-client,mockpt-opcua-mqtt-client-2,mosquitto-broker,node-exporter,physical_twin_emulator,portainer,prometheus,state-exporter
2025-11-18 15:55:00,2.01%,0.239%,,,0.00785%,0.601%,,0.00176%,0.929%,0.534%
2025-11-18 15:55:15,2.02%,0.0736%,2.90%,,0.123%,0.759%,3.21%,0.00233%,0.966%,0.599%
2025-11-18 15:55:30,2.32%,0.0555%,0.662%,,0.187%,0.737%,0.983%,0.00197%,0.928%,0.565%
2025-11-18 15:55:45,2.27%,0.0614%,0.621%,,0.170%,0.700%,1.10%,0%,0.971%,0.546%
2025-11-18 15:56:00,2.27%,0.0645%,0.644%,,0.169%,0.646%,1.09%,0.00176%,0.970%,0.633%
2025-11-18 15:56:15,2.30%,0.0809%,0.603%,,0.185%,0.709%,1.14%,0.00180%,0.985%,0.554%
2025-11-18 15:56:30,2.44%,0.0684%,0.623%,,0.190%,0.792%,1.12%,0.00260%,0.858%,0.505%
2025-11-18 15:56:45,2.35%,0.0617%,0.595%,,0.178%,0.621%,1.08%,0.000691%,1.01%,0.637%
2025-11-18 15:57:00,2.38%,0.821%,0.627%,,0.170%,0.766%,1.23%,0.00148%,1.31%,0.606%
2025-11-18 15:57:15,2.25%,0.0859%,0.566%,,0.173%,0.857%,1.11%,0.00102%,0.940%,0.541%
2025-11-18 15:57:30,2.25%,0.472%,0.640%,,0.177%,0.815%,1.13%,0.00121%,1.33%,0.611%
2025-11-18 15:57:45,2.49%,0.625%,0.668%,,0.182%,0.776%,1.17%,0.000538%,1.29%,0.468%
2025-11-18 15:58:00,2.06%,0.354%,0.585%,,0.166%,0.701%,1.05%,0.00128%,0.974%,0.576%
2025-11-18 15:58:15,2.22%,0.212%,0.608%,,0.159%,0.528%,1.11%,0.000355%,1.04%,0.571%
2025-11-18 15:58:30,2.38%,0.352%,0.659%,,0.176%,0.693%,1.10%,0.000976%,0.948%,0.507%
2025-11-18 15:58:45,2.16%,0.568%,0.591%,,0.164%,0.667%,1.13%,0.000462%,1.16%,0.609%
2025-11-18 15:59:00,1.91%,0.372%,0.595%,,0.185%,0.752%,1.18%,0.00190%,1.22%,0.670%
2025-11-18 15:59:15,2.31%,0.342%,0.587%,,0.178%,0.692%,1.07%,0.00159%,1.20%,0.473%
2025-11-18 15:59:30,2.08%,0.425%,0.561%,,0.160%,0.665%,1.10%,0.00135%,1.25%,0.566%
2025-11-18 15:59:45,2.64%,0.630%,0.658%,,0.184%,0.734%,1.16%,0.000646%,1.25%,0.657%
2025-11-18 16:00:00,2.14%,1.62%,0.633%,,0.178%,0.734%,1.16%,0.00178%,1.67%,0.563%
2025-11-18 16:00:15,2.15%,0.368%,0.624%,,0.171%,0.692%,1.13%,0.00192%,1.18%,0.462%
2025-11-18 16:00:30,2.23%,0.346%,0.616%,,0.172%,0.640%,1.13%,0.00169%,1.17%,0.480%
2025-11-18 16:00:45,1.99%,0.315%,0.578%,,0.151%,0.712%,1.02%,0.00152%,1.22%,0.531%
2025-11-18 16:01:00,2.32%,0.863%,0.627%,,0.176%,0.686%,1.15%,0.0348%,1.34%,0.586%
2025-11-18 16:01:15,1.93%,0.336%,0.626%,,0.177%,0.677%,1.09%,0.00149%,1.18%,0.546%
2025-11-18 16:01:30,1.81%,0.345%,0.617%,,0.169%,0.732%,1.11%,0.00140%,1.14%,0.575%
2025-11-18 16:01:45,2.50%,0.443%,0.649%,,0.192%,0.564%,1.19%,0%,1.08%,0.660%
2025-11-18 16:02:00,2.44%,0.557%,0.610%,,0.154%,0.528%,1.06%,0.00121%,1.20%,0.617%
2025-11-18 16:02:15,2.17%,0.409%,0.519%,,0.147%,0.680%,1.10%,0.00134%,1.16%,0.489%
2025-11-18 16:02:30,2.22%,0.618%,,,0.121%,0.677%,1.07%,0.00159%,1.23%,0.542%
2025-11-18 16:02:45,1.99%,1.20%,,,0.129%,0.684%,1.04%,0.00141%,1.29%,0.445%
2025-11-18 16:03:00,1.95%,0.685%,,,0.126%,0.728%,1.08%,0.0346%,1.21%,0.551%
2025-11-18 16:03:15,2.30%,0.509%,,1.09%,0.131%,0.799%,0.995%,0.00137%,1.24%,0.520%
2025-11-18 16:03:30,2.00%,1.05%,,1.04%,0.253%,0.656%,1.10%,0.00132%,1.48%,0.563%
2025-11-18 16:03:45,2.31%,0.515%,,0.904%,0.227%,0.713%,1.07%,0.00138%,1.02%,0.549%
2025-11-18 16:04:00,2.25%,0.246%,,0.884%,0.254%,0.749%,1.10%,0.00164%,1.31%,0.489%
