Time,cadvisor,grafana,mockpt-opcua-mqtt-client,mockpt-opcua-mqtt-client-2,mosquitto-broker,node-exporter,physical_twin_emulator,portainer,prometheus,state-exporter
2025-11-18 15:55:00,36.4 MiB,116 MiB,66.9 MiB,,408 KiB,11.8 MiB,110.8 MiB,17.7 MiB,138 MiB,18.7 MiB
2025-11-18 15:55:15,33.9 MiB,116 MiB,67.9 MiB,,412 KiB,12.0 MiB,110.8 MiB,17.7 MiB,138 MiB,17.4 MiB
2025-11-18 15:55:30,36.2 MiB,116 MiB,67.9 MiB,,412 KiB,11.7 MiB,110.8 MiB,17.7 MiB,138 MiB,17.3 MiB
2025-11-18 15:55:45,35.6 MiB,116 MiB,67.9 MiB,,412 KiB,11.8 MiB,110.8 MiB,17.7 MiB,138 MiB,17.7 MiB
2025-11-18 15:56:00,36.0 MiB,116 MiB,68.0 MiB,,412 KiB,11.9 MiB,110.8 MiB,17.7 MiB,138 MiB,17.7 MiB
2025-11-18 15:56:15,35.9 MiB,116 MiB,68.0 MiB,,412 KiB,11.6 MiB,110.8 MiB,17.7 MiB,138 MiB,18.7 MiB
2025-11-18 15:56:30,37.2 MiB,116 MiB,68.0 MiB,,412 KiB,11.7 MiB,110.8 MiB,17.7 MiB,138 MiB,19.1 MiB
2025-11-18 15:56:45,34.3 MiB,116 MiB,68.0 MiB,,412 KiB,11.7 MiB,112.8 MiB,17.7 MiB,138 MiB,17.7 MiB
2025-11-18 15:57:00,37.0 MiB,116 MiB,68.0 MiB,,412 KiB,10.9 MiB,113.8 MiB,17.7 MiB,139 MiB,18.7 MiB
2025-11-18 15:57:15,33.9 MiB,116 MiB,68.0 MiB,,412 KiB,11.7 MiB,110.8 MiB,17.7 MiB,153 MiB,19.3 MiB
2025-11-18 15:57:30,35.4 MiB,116 MiB,68.0 MiB,,412 KiB,11.5 MiB,110.8 MiB,17.7 MiB,152 MiB,18.6 MiB
2025-11-18 15:57:45,34.9 MiB,116 MiB,68.0 MiB,,412 KiB,11.5 MiB,112.8 MiB,17.7 MiB,153 MiB,18.9 MiB
2025-11-18 15:58:00,34.8 MiB,116 MiB,68.0 MiB,,412 KiB,11.2 MiB,110.8 MiB,17.7 MiB,153 MiB,17.3 MiB
2025-11-18 15:58:15,36.5 MiB,116 MiB,68.0 MiB,,412 KiB,11.6 MiB,110.8 MiB,17.7 MiB,153 MiB,17.7 MiB
2025-11-18 15:58:30,36.3 MiB,116 MiB,68.0 MiB,,412 KiB,11.7 MiB,110.8 MiB,17.7 MiB,155 MiB,17.9 MiB
2025-11-18 15:58:45,37.9 MiB,118 MiB,68.0 MiB,,412 KiB,10.9 MiB,110.8 MiB,17.7 MiB,148 MiB,18.4 MiB
