Time,cadvisor,grafana,mockpt-opcua-mqtt-client,mockpt-opcua-mqtt-client-2,mosquitto-broker,node-exporter,physical_twin_emulator,portainer,prometheus,state-exporter
2025-11-18 15:55:00,1.51 kB/s,42.4 B/s,,,12.9 B/s,602 B/s,,0 B/s,90.6 kB/s,614 B/s
2025-11-18 15:55:15,1.54 kB/s,81.9 B/s,10.1 kB/s,,32.1 kB/s,698 B/s,6.76 kB/s,11.1 B/s,99.9 kB/s,666 B/s
2025-11-18 15:55:30,1.63 kB/s,6.76 B/s,44.8 kB/s,,52.7 kB/s,625 B/s,7.27 kB/s,0 B/s,94.1 kB/s,635 B/s
2025-11-18 15:55:45,1.89 kB/s,42.0 B/s,41.7 kB/s,,48.8 kB/s,635 B/s,8.52 kB/s,0 B/s,103 kB/s,623 B/s
2025-11-18 15:56:00,1.70 kB/s,48.7 B/s,41.9 kB/s,,48.9 kB/s,617 B/s,8.41 kB/s,0 B/s,96.7 kB/s,627 B/s
2025-11-18 15:56:15,1.64 kB/s,12.7 B/s,42.5 kB/s,,49.1 kB/s,633 B/s,9.36 kB/s,0 B/s,102 kB/s,623 B/s
2025-11-18 15:56:30,1.89 kB/s,46.5 B/s,41.8 kB/s,,48.8 kB/s,648 B/s,9.61 kB/s,0 B/s,92.5 kB/s,592 B/s
2025-11-18 15:56:45,1.79 kB/s,11.6 B/s,42.1 kB/s,,49.2 kB/s,607 B/s,8.69 kB/s,0 B/s,103 kB/s,655 B/s
2025-11-18 15:57:00,1.79 kB/s,9.34 kB/s,41.6 kB/s,,48.7 kB/s,663 B/s,9.80 kB/s,0 B/s,103 kB/s,657 B/s
2025-11-18 15:57:15,1.68 kB/s,52.0 B/s,38.5 kB/s,,49.3 kB/s,679 B/s,10.4 kB/s,0 B/s,98.6 kB/s,661 B/s
2025-11-18 15:57:30,1.72 kB/s,11.0 kB/s,41.6 kB/s,,48.7 kB/s,621 B/s,11.0 kB/s,0 B/s,103 kB/s,656 B/s
2025-11-18 15:57:45,1.76 kB/s,6.23 kB/s,42.1 kB/s,,48.9 kB/s,631 B/s,10.2 kB/s,0 B/s,94.7 kB/s,630 B/s
2025-11-18 15:58:00,1.67 kB/s,5.77 kB/s,41.9 kB/s,,49.4 kB/s,610 B/s,10.8 kB/s,0 B/s,104 kB/s,631 B/s
2025-11-18 15:58:15,1.81 kB/s,3.05 kB/s,42.0 kB/s,,49.0 kB/s,507 B/s,10.9 kB/s,0 B/s,106 kB/s,606 B/s
2025-11-18 15:58:30,1.86 kB/s,5.25 kB/s,42.0 kB/s,,49.1 kB/s,641 B/s,11.4 kB/s,0 B/s,92.0 kB/s,546 B/s
2025-11-18 15:58:45,1.70 kB/s,5.74 kB/s,41.7 kB/s,,48.9 kB/s,613 B/s,11.3 kB/s,0 B/s,104 kB/s,663 B/s
2025-11-18 15:59:00,1.51 kB/s,5.84 kB/s,41.9 kB/s,,48.9 kB/s,671 B/s,10.8 kB/s,0 B/s,107 kB/s,675 B/s
2025-11-18 15:59:15,1.74 kB/s,5.50 kB/s,41.8 kB/s,,48.8 kB/s,614 B/s,11.0 kB/s,0 B/s,104 kB/s,631 B/s
2025-11-18 15:59:30,1.64 kB/s,6.57 kB/s,37.8 kB/s,,49.0 kB/s,622 B/s,11.1 kB/s,0 B/s,104 kB/s,682 B/s
2025-11-18 15:59:45,1.85 kB/s,3.33 kB/s,42.0 kB/s,,49.0 kB/s,661 B/s,11.2 kB/s,0 B/s,95.8 kB/s,666 B/s
2025-11-18 16:00:00,1.65 kB/s,25.5 kB/s,41.8 kB/s,,48.8 kB/s,668 B/s,11.1 kB/s,0 B/s,106 kB/s,617 B/s
2025-11-18 16:00:15,1.63 kB/s,5.83 kB/s,42.1 kB/s,,49.1 kB/s,595 B/s,11.0 kB/s,0 B/s,95.0 kB/s,528 B/s
2025-11-18 16:00:30,1.80 kB/s,6.20 kB/s,42.0 kB/s,,49.1 kB/s,617 B/s,10.9 kB/s,0 B/s,104 kB/s,561 B/s
2025-11-18 16:00:45,1.68 kB/s,5.44 kB/s,42.5 kB/s,,49.5 kB/s,631 B/s,11.2 kB/s,0 B/s,105 kB/s,639 B/s
2025-11-18 16:01:00,1.68 kB/s,5.85 kB/s,42.1 kB/s,,49.0 kB/s,618 B/s,10.7 kB/s,0 B/s,108 kB/s,631 B/s
2025-11-18 16:01:15,1.60 kB/s,5.38 kB/s,42.0 kB/s,,48.9 kB/s,630 B/s,11.1 kB/s,0 B/s,102 kB/s,621 B/s
2025-11-18 16:01:30,1.44 kB/s,5.29 kB/s,42.2 kB/s,,49.2 kB/s,667 B/s,11.3 kB/s,0 B/s,104 kB/s,617 B/s
2025-11-18 16:01:45,1.78 kB/s,7.82 kB/s,42.3 kB/s,,49.3 kB/s,542 B/s,11.3 kB/s,0 B/s,103 kB/s,619 B/s
2025-11-18 16:02:00,1.84 kB/s,8.90 kB/s,42.1 kB/s,,48.8 kB/s,520 B/s,10.3 kB/s,0 B/s,101 kB/s,642 B/s
