Time,cadvisor,grafana,mockpt-opcua-mqtt-client,mockpt-opcua-mqtt-client-2,mosquitto-broker,node-exporter,physical_twin_emulator,portainer,prometheus,state-exporter
2025-11-18 15:55:00,70.2 kB/s,49.7 B/s,,,12.9 B/s,11.7 kB/s,,0 B/s,5.18 kB/s,8.76 kB/s
2025-11-18 15:55:15,69.6 kB/s,52.1 B/s,1.48 kB/s,,40.7 kB/s,13.7 kB/s,27.8 kB/s,0 B/s,5.39 kB/s,9.90 kB/s
2025-11-18 15:55:30,74.5 kB/s,6.76 B/s,6.23 kB/s,,92.9 kB/s,12.3 kB/s,40.6 kB/s,0 B/s,4.87 kB/s,9.59 kB/s
2025-11-18 15:55:45,86.5 kB/s,49.5 B/s,6.23 kB/s,,85.2 kB/s,12.5 kB/s,41.9 kB/s,0 B/s,5.45 kB/s,9.41 kB/s
2025-11-18 15:56:00,77.7 kB/s,63.2 B/s,6.23 kB/s,,85.6 kB/s,12.2 kB/s,42.1 kB/s,0 B/s,5.46 kB/s,9.48 kB/s
2025-11-18 15:56:15,75.2 kB/s,12.7 B/s,5.42 kB/s,,83.5 kB/s,12.5 kB/s,42.9 kB/s,0 B/s,5.48 kB/s,9.41 kB/s
2025-11-18 15:56:30,86.6 kB/s,60.2 B/s,3.09 kB/s,,82.4 kB/s,12.8 kB/s,42.1 kB/s,0 B/s,4.98 kB/s,8.94 kB/s
2025-11-18 15:56:45,81.9 kB/s,11.6 B/s,3.10 kB/s,,83.0 kB/s,12.0 kB/s,42.6 kB/s,0 B/s,5.51 kB/s,9.89 kB/s
2025-11-18 15:57:00,82.0 kB/s,27.5 kB/s,3.12 kB/s,,82.0 kB/s,13.1 kB/s,42.3 kB/s,0 B/s,11.4 kB/s,9.92 kB/s
2025-11-18 15:57:15,77.0 kB/s,65.2 B/s,2.77 kB/s,,83.4 kB/s,13.4 kB/s,42.6 kB/s,0 B/s,5.39 kB/s,9.98 kB/s
2025-11-18 15:57:30,78.7 kB/s,32.0 kB/s,3.11 kB/s,,81.9 kB/s,12.3 kB/s,42.0 kB/s,0 B/s,12.8 kB/s,9.91 kB/s
2025-11-18 15:57:45,80.9 kB/s,17.3 kB/s,3.09 kB/s,,82.4 kB/s,12.5 kB/s,42.3 kB/s,0 B/s,8.54 kB/s,9.52 kB/s
2025-11-18 15:58:00,76.4 kB/s,16.1 kB/s,3.13 kB/s,,83.4 kB/s,12.1 kB/s,42.2 kB/s,0 B/s,7.10 kB/s,9.54 kB/s
2025-11-18 15:58:15,82.9 kB/s,8.52 kB/s,3.09 kB/s,,82.6 kB/s,10.0 kB/s,42.3 kB/s,0 B/s,8.93 kB/s,9.16 kB/s
2025-11-18 15:58:30,85.2 kB/s,14.6 kB/s,3.11 kB/s,,82.7 kB/s,12.7 kB/s,42.3 kB/s,0 B/s,6.59 kB/s,8.25 kB/s
2025-11-18 15:58:45,77.8 kB/s,16.0 kB/s,3.11 kB/s,,82.2 kB/s,12.1 kB/s,42.2 kB/s,0 B/s,8.49 kB/s,10.0 kB/s
2025-11-18 15:59:00,69.6 kB/s,16.2 kB/s,3.12 kB/s,,82.4 kB/s,13.2 kB/s,42.2 kB/s,0 B/s,8.40 kB/s,10.2 kB/s
2025-11-18 15:59:15,79.8 kB/s,15.3 kB/s,3.65 kB/s,,82.5 kB/s,12.1 kB/s,42.2 kB/s,0 B/s,8.53 kB/s,8.79 kB/s
2025-11-18 15:59:30,75.2 kB/s,18.3 kB/s,5.64 kB/s,,82.3 kB/s,12.3 kB/s,42.3 kB/s,0 B/s,8.90 kB/s,10.3 kB/s
2025-11-18 15:59:45,84.5 kB/s,9.24 kB/s,6.22 kB/s,,82.7 kB/s,13.1 kB/s,42.3 kB/s,0 B/s,6.55 kB/s,10.1 kB/s
2025-11-18 16:00:00,75.6 kB/s,71.0 kB/s,6.22 kB/s,,82.2 kB/s,13.2 kB/s,42.2 kB/s,0 B/s,18.5 kB/s,9.33 kB/s
2025-11-18 16:00:15,74.8 kB/s,16.2 kB/s,6.19 kB/s,,85.3 kB/s,11.8 kB/s,42.4 kB/s,0 B/s,8.81 kB/s,7.98 kB/s
2025-11-18 16:00:30,82.6 kB/s,17.2 kB/s,6.22 kB/s,,85.8 kB/s,12.2 kB/s,42.3 kB/s,0 B/s,8.53 kB/s,8.48 kB/s
2025-11-18 16:00:45,76.7 kB/s,15.1 kB/s,6.18 kB/s,,86.7 kB/s,12.5 kB/s,42.7 kB/s,0 B/s,8.95 kB/s,9.65 kB/s
2025-11-18 16:01:00,76.7 kB/s,16.3 kB/s,6.14 kB/s,,85.8 kB/s,12.2 kB/s,42.3 kB/s,0 B/s,9.18 kB/s,9.54 kB/s
2025-11-18 16:01:15,73.2 kB/s,15.0 kB/s,6.01 kB/s,,83.5 kB/s,12.4 kB/s,42.4 kB/s,0 B/s,8.82 kB/s,9.39 kB/s
2025-11-18 16:01:30,65.9 kB/s,14.7 kB/s,6.15 kB/s,,83.2 kB/s,13.2 kB/s,42.5 kB/s,0 B/s,8.59 kB/s,9.33 kB/s
2025-11-18 16:01:45,81.4 kB/s,22.4 kB/s,6.17 kB/s,,83.3 kB/s,10.7 kB/s,42.6 kB/s,0 B/s,9.14 kB/s,9.36 kB/s
2025-11-18 16:02:00,84.0 kB/s,26.1 kB/s,6.16 kB/s,,63.9 kB/s,10.3 kB/s,38.8 kB/s,0 B/s,11.7 kB/s,9.70 kB/s
2025-11-18 16:02:15,78.1 kB/s,29.5 kB/s,5.02 kB/s,,73.6 kB/s,12.2 kB/s,42.6 kB/s,0 B/s,10.3 kB/s,8.05 kB/s
2025-11-18 16:02:30,76.3 kB/s,36.0 kB/s,,,40.9 kB/s,11.5 kB/s,42.5 kB/s,0 B/s,15.1 kB/s,9.15 kB/s
2025-11-18 16:02:45,66.9 kB/s,65.3 kB/s,,,41.0 kB/s,12.9 kB/s,42.8 kB/s,0 B/s,21.7 kB/s,8.18 kB/s
2025-11-18 16:03:00,72.2 kB/s,27.9 kB/s,,,41.0 kB/s,13.0 kB/s,42.6 kB/s,0 B/s,11.3 kB/s,8.64 kB/s
2025-11-18 16:03:15,83.3 kB/s,37.9 kB/s,,13.3 kB/s,52.5 kB/s,12.1 kB/s,38.1 kB/s,0 B/s,14.5 kB/s,9.11 kB/s
2025-11-18 16:03:30,76.5 kB/s,70.5 kB/s,,40.2 kB/s,121 kB/s,12.5 kB/s,42.1 kB/s,0 B/s,20.0 kB/s,10.3 kB/s
2025-11-18 16:03:45,80.6 kB/s,44.3 kB/s,,40.8 kB/s,123 kB/s,12.8 kB/s,42.8 kB/s,0 B/s,14.2 kB/s,9.11 kB/s
2025-11-18 16:04:00,76.9 kB/s,13.8 kB/s,,40.3 kB/s,122 kB/s,12.8 kB/s,42.1 kB/s,0 B/s,11.5 kB/s,8.53 kB/s
2025-11-18 16:04:15,81.8 kB/s,25.7 kB/s,,40.7 kB/s,105 kB/s,12.1 kB/s,42.5 kB/s,0 B/s,8.65 kB/s,9.30 kB/s
2025-11-18 16:04:30,87.7 kB/s,14.0 kB/s,,40.6 kB/s,120 kB/s,10.9 kB/s,42.6 kB/s,0 B/s,11.5 kB/s,10.2 kB/s
2025-11-18 16:04:45,76.0 kB/s,26.4 kB/s,,40.7 kB/s,120 kB/s,11.7 kB/s,42.6 kB/s,0 B/s,11.4 kB/s,10.4 kB/s
2025-11-18 16:05:00,81.7 kB/s,25.3 kB/s,,40.4 kB/s,119 kB/s,12.7 kB/s,42.0 kB/s,0 B/s,12.6 kB/s,8.64 kB/s
2025-11-18 16:05:15,80.4 kB/s,28.9 kB/s,,40.4 kB/s,119 kB/s,10.7 kB/s,42.1 kB/s,0 B/s,11.1 kB/s,9.91 kB/s
2025-11-18 16:05:30,76.4 kB/s,24.8 kB/s,,40.1 kB/s,119 kB/s,11.1 kB/s,38.4 kB/s,0 B/s,11.8 kB/s,8.82 kB/s
2025-11-18 16:05:45,86.3 kB/s,25.3 kB/s,,39.9 kB/s,117 kB/s,12.8 kB/s,41.7 kB/s,0 B/s,11.6 kB/s,8.84 kB/s
2025-11-18 16:06:00,80.7 kB/s,46.2 kB/s,,40.1 kB/s,118 kB/s,13.2 kB/s,42.1 kB/s,0 B/s,15.0 kB/s,9.71 kB/s
2025-11-18 16:06:15,73.9 kB/s,28.5 kB/s,,40.0 kB/s,118 kB/s,12.7 kB/s,37.8 kB/s,0 B/s,11.6 kB/s,10.2 kB/s
2025-11-18 16:06:30,76.0 kB/s,27.3 kB/s,,40.3 kB/s,119 kB/s,12.4 kB/s,42.3 kB/s,0 B/s,12.4 kB/s,8.44 kB/s
2025-11-18 16:06:45,80.7 kB/s,30.9 kB/s,,40.6 kB/s,120 kB/s,12.3 kB/s,42.4 kB/s,0 B/s,11.9 kB/s,9.52 kB/s
2025-11-18 16:07:00,76.8 kB/s,30.7 kB/s,,40.2 kB/s,120 kB/s,13.0 kB/s,42.2 kB/s,0 B/s,12.5 kB/s,8.84 kB/s
